entry_id,reduced_formula,nelem,spacegroup_symbol,crystal_system,magnetic_ordering,magnetic_polarization_T,total_magnetic_moment_uB,mae_energy_da_meV_cell,mae_constant_da_MJ_m3,easy_axis,kappa,curie_temperature_K,formation_energy_meV_atom,above_hull_meV_atom,formula_key,formula_parse_status
MMD-1219,FeAs,2,Pnma,orthorhombic,Ferromagnetic,0.23,2.16,,,c,2.68,,-182.168633,0.0,As1Fe1,ok
MMD-1220,Fe5Si3,2,P6_3/mcm,hexagonal,Ferromagnetic,0.98,15.22,,,ab plane,1.8,,-382.975795,32.550702,Fe5Si3,ok
MMD-1221,FeS,2,P4/nmm,tetragonal,Ferromagnetic,0.0,0.0,,,,,,-508.782311,0.0,Fe1S1,ok
MMD-1222,Fe3C,2,Pnma,orthorhombic,Ferromagnetic,1.7,22.23,,,c,0.321,,19.880615,19.880615,C1Fe3,ok
MMD-1223,Fe4N,2,Pm-3m,cubic,Ferromagnetic,1.81,7.69,0.002,0.006,a,0.049,,12.760092,67.093435,Fe4N1,ok
MMD-1224,ScFe2,2,Fd-3m,cubic,Ferromagnetic,0.75,21.86,-0.003,-0.001,<111>,0.052,,-282.471696,0.0,Fe2Sc1,ok
MMD-1225,Ga4Fe3,2,C2/m,monoclinic,Ferromagnetic,0.67,33.22,,,,,,-162.530858,20.321844,Fe3Ga4,ok
MMD-1226,Fe7Se8,2,P3_121,trigonal,Ferromagnetic,0.62,38.74,,,,,,-135.70626,150.111271,Fe7Se8,ok
MMD-1227,Fe23B6,2,Fm-3m,cubic,Ferromagnetic,1.89,193.11,,,,,,-173.113969,20.605344,B6Fe23,ok
MMD-1228,Fe7S8,2,C2/c,monoclinic,Ferromagnetic,0.18,12.33,,,,,,-390.590411,122.109581,Fe7S8,ok
MMD-1229,Fe8N,2,I4/mmm,tetragonal,Ferromagnetic,2.21,38.3,,,c,0.432,,-30.167692,0.017498,Fe8N1,ok
MMD-1230,Fe7S8,2,P3_121,trigonal,Ferromagnetic,0.17,8.53,,,,,,-392.657896,120.042096,Fe7S8,ok
MMD-1231,Fe2Ge,2,P6/mmm,hexagonal,Ferromagnetic,1.48,5.0,,,c,1.122,,226.268029,334.849225,Fe2Ge1,ok
MMD-1232,FeP4,2,C222_1,orthorhombic,Ferromagnetic,0.0,0.0,,,,,,-364.92443,13.587166,Fe1P4,ok
MMD-1233,Fe2B,2,P4/mmm,tetragonal,Ferromagnetic,1.55,4.08,,,c,0.829,,57.91575,370.019087,B1Fe2,ok
MMD-1234,NbFe2,2,P6_3/mmc,hexagonal,Ferromagnetic,0.66,8.83,,,c,1.096,,-147.093479,7.422669,Fe2Nb1,ok
MMD-1235,Fe3Se4,2,P-3m1,trigonal,Ferromagnetic,0.5,5.39,,,c,5.126,,-138.165249,167.519695,Fe3Se4,ok
